year,month,day,hour,Surface net solar radiation,Surface pressure,2 metre temperature,10 metre V wind component,2 metre dewpoint temperature,10 metre U wind component,Skin temperature
2009,2,25,1300,1604354.0,98965.5,281.08251953125,-0.9621379375457764,271.203369140625,0.413657009601593,283.949951171875
2009,2,26,1300,1585076.0,98289.5,284.367919921875,2.975022315979004,275.29150390625,0.25202250480651855,286.151611328125
2009,2,27,1300,1511652.0,97729.25,285.184326171875,1.2572860717773438,278.126708984375,-0.07703894376754761,288.12939453125
2009,2,28,1300,1289777.0,97998.875,285.4033203125,2.9931821823120117,279.248779296875,-0.9354310631752014,286.262451171875
2009,3,1,1300,302863.8125,97626.1875,281.15478515625,-1.244558334350586,280.53466796875,-1.0243463516235352,281.0771484375
2009,3,2,1300,789979.625,97627.1875,283.761962890625,-1.399735450744629,279.052490234375,0.11290609836578369,286.3125
2009,3,3,1300,462797.625,97584.625,282.619873046875,-0.6596569418907166,281.200439453125,-0.9845017790794373,283.658935546875
2009,3,4,1300,312701.0,95862.9375,280.428955078125,0.025385119020938873,278.912353515625,-1.3645086288452148,281.044677734375
2009,3,5,1300,292892.9375,94087.0,277.6474609375,-1.616124153137207,276.858642578125,2.33005428314209,278.277099609375
2009,3,6,1300,1231018.0,95397.3125,282.276123046875,-1.5388736724853516,276.302734375,-0.6457340717315674,286.916748046875
2009,3,7,1300,2020724.0,96596.875,287.34228515625,-2.4480066299438477,271.8154296875,1.4674339294433594,290.416015625
2009,3,8,1300,1800117.0,97164.875,288.161376953125,1.3625078201293945,274.35009765625,-1.2850732803344727,290.485595703125
2009,3,9,1300,2114607.0,97430.0625,286.59521484375,-3.5422286987304688,264.93896484375,5.3736572265625,287.7919921875
2009,3,10,1300,1671408.0,97645.5,285.6962890625,3.039165496826172,273.45947265625,-0.6702070236206055,287.82421875
2009,3,11,1300,2005474.0,97596.25,288.046142578125,-1.811326026916504,274.69970703125,-1.139204978942871,291.44189453125
2009,3,12,1300,2063525.0,98357.3125,287.66845703125,1.9700002670288086,271.10693359375,-0.42101913690567017,290.454833984375
2009,3,13,1300,1946781.0,97736.4375,288.819091796875,3.886977195739746,279.61376953125,-0.9676216840744019,292.0341796875
2009,3,14,1300,1675194.0,98194.0,286.55126953125,-0.24621278047561646,279.734619140625,-0.1561262011528015,290.916259765625
2009,3,15,1300,2069022.0,98215.375,289.930419921875,0.6162658929824829,280.89111328125,0.06998229026794434,294.53759765625
2009,3,16,1300,2111713.0,98857.625,288.821044921875,-1.4282817840576172,276.041259765625,-1.1137123107910156,292.1181640625
2009,3,17,1300,2130164.0,98837.875,289.55908203125,-0.2746155261993408,275.5419921875,-0.45398199558258057,293.44677734375
2009,3,18,1300,2191472.0,98348.4375,292.759521484375,-0.8455434441566467,275.01123046875,0.002983970334753394,296.064697265625
2009,3,19,1300,2158576.0,97647.0625,289.97412109375,0.01612253487110138,276.180908203125,0.5497066378593445,294.13525390625
2009,3,20,1300,1838153.0,98208.0,281.68798828125,-3.907637596130371,268.761962890625,-2.706785202026367,284.58251953125
2009,3,21,1300,2199827.0,98218.5625,283.3056640625,-2.0936689376831055,265.98779296875,-1.7953214645385742,287.1689453125
2009,3,22,1300,2261992.0,98113.375,287.808837890625,-0.9023814797401428,264.3583984375,1.2915782928466797,291.330322265625
2009,3,23,1300,2259954.0,97542.75,291.906982421875,2.0290117263793945,272.33251953125,0.23795866966247559,294.275146484375
2009,3,24,1300,2129863.0,96351.5,286.056396484375,-7.077193260192871,263.2744140625,1.7903985977172852,285.7294921875
2009,3,25,1300,1850825.0,96701.4375,287.87646484375,1.810469627380371,269.634033203125,0.10392749309539795,291.290283203125
2009,3,26,1300,2279204.0,97183.5625,288.9951171875,0.4252150058746338,273.466064453125,-0.844473123550415,293.772216796875
2009,3,27,1300,1724037.0,97006.375,289.76806640625,2.202773094177246,278.9248046875,-1.5171403884887695,291.134033203125
2009,3,28,1300,524823.4375,96634.75,285.35693359375,5.271450042724609,281.03466796875,-2.5435571670532227,285.2587890625
2009,3,29,1300,287026.0,96310.875,281.201416015625,-3.6666364669799805,280.392578125,1.704122543334961,282.83154296875
2009,3,30,1300,896860.3125,97443.125,286.286376953125,-1.8896293640136719,280.06396484375,-0.2777283787727356,290.5283203125
2009,3,31,1300,1028235.25,97652.0,286.242919921875,-4.003783226013184,280.2490234375,-1.717620849609375,288.12255859375
2009,4,1,1300,458666.875,97561.75,283.26171875,-4.957233428955078,281.9150390625,-0.9274030923843384,283.097412109375
2009,4,2,1300,1060801.0,97815.0625,285.8818359375,-3.2557058334350586,285.042236328125,0.25547564029693604,285.075439453125
2009,4,3,1300,2090295.0,98212.6875,288.7392578125,-1.8150529861450195,279.480224609375,0.7569898962974548,292.641845703125
2009,4,4,1300,2050568.0,98017.125,291.073486328125,-1.5791702270507812,278.5693359375,-0.7499416470527649,294.8408203125
2009,4,5,1300,1746780.0,98132.375,290.25,-1.5724372863769531,281.961669921875,0.35158777236938477,295.315185546875
2009,4,6,1300,2167865.0,97793.6875,292.796875,-0.35693174600601196,281.995849609375,-0.7398368120193481,296.731689453125
2009,4,7,1300,2026044.0,97603.5625,291.73291015625,2.780045509338379,284.65380859375,-0.7350640892982483,294.397216796875
2009,4,8,1300,1954453.0,97936.125,290.772705078125,1.268355369567871,280.7021484375,-0.5246652960777283,294.659423828125
2009,4,9,1300,1745465.0,97985.625,291.50830078125,-0.7265610098838806,281.295166015625,-0.5812510848045349,295.756591796875
2009,4,10,1300,1458718.0,97584.0625,288.8974609375,-1.0592212677001953,285.5703125,0.619284987449646,294.51806640625
